Month,Year,so2 Concentration,so2 TrimestralConcentration,UnitOfMeasurement
01,2013,4.626168224299065,,µg/m3
02,2013,4.983758700696056,,µg/m3
03,2013,4.356010928961749,4.655312617985623,µg/m3
04,2013,4.317898486197684,4.552556038618496,µg/m3
05,2013,4.332954868010218,4.3356214277232175,µg/m3
06,2013,4.471222001701163,4.3740251186363555,µg/m3
07,2013,4.8182850653038045,4.540820645005062,µg/m3
08,2013,5.2476056338028165,4.845704233602595,µg/m3
09,2013,4.900536033353187,4.988808910819936,µg/m3
10,2013,5.103743926836239,5.08396186466408,µg/m3
11,2013,5.0062287655719135,5.003502908587113,µg/m3
12,2013,4.950880444856349,5.020284379088167,µg/m3
01,2014,4.873939748464463,4.943682986297575,µg/m3
02,2014,4.8942670786131135,4.906362423977975,µg/m3
03,2014,4.778810932657087,4.849005919911554,µg/m3
04,2014,4.997071265863976,4.890049759044725,µg/m3
05,2014,5.35429056924384,5.043390922588301,µg/m3
06,2014,5.251849743881617,5.201070526329811,µg/m3
07,2014,5.482739574703121,5.362959962609526,µg/m3
08,2014,6.037210584343991,5.59059996764291,µg/m3
09,2014,5.249711649365628,5.589887269470913,µg/m3
10,2014,5.116879432624113,5.467933888777911,µg/m3
11,2014,5.468085106382978,5.27822539612424,µg/m3
12,2014,5.479353161998268,5.3547725670017865,µg/m3
01,2015,5.499725726823916,5.4823879984017205,µg/m3
02,2015,5.537182587666264,5.505420492162816,µg/m3
03,2015,5.291928864569083,5.442945726353088,µg/m3
04,2015,5.047904191616767,5.292338547950704,µg/m3
05,2015,5.245848080588075,5.1952270455913085,µg/m3
06,2015,5.400902170848604,5.231551481017815,µg/m3
07,2015,5.525177887246853,5.390642712894511,µg/m3
08,2015,5.228136882129277,5.3847389800749115,µg/m3
09,2015,5.385799828913601,5.379704866096577,µg/m3
10,2015,4.938753089810492,5.18422993361779,µg/m3
11,2015,5.404721274175199,5.243091397633098,µg/m3
12,2015,5.235175007231704,5.192883123739132,µg/m3
01,2016,4.675203725261932,5.1050333355562785,µg/m3
02,2016,4.97239976757699,4.960926166690209,µg/m3
03,2016,4.776476994282603,4.808026829040508,µg/m3
04,2016,4.437428571428572,4.728768444429388,µg/m3
05,2016,4.822840010902153,4.6789151922044425,µg/m3
06,2016,5.506678281068525,4.922315621133083,µg/m3
07,2016,5.443271053344165,5.257596448438281,µg/m3
08,2016,5.2050861361771945,5.385011823529961,µg/m3
09,2016,5.273198847262248,5.307185345594536,µg/m3
10,2016,4.607062780269058,5.0284492545695,µg/m3
11,2016,4.67787610619469,4.852712577908665,µg/m3
12,2016,4.374523679912901,4.553154188792217,µg/m3
01,2017,5.317305080141266,4.789901622082953,µg/m3
02,2017,4.286882762799152,4.659570507617773,µg/m3
03,2017,4.46199782844734,4.688728557129253,µg/m3
04,2017,4.679335585585585,4.476072058944026,µg/m3
05,2017,4.798074277854195,4.64646923062904,µg/m3
06,2017,5.21968787515006,4.899032579529947,µg/m3
07,2017,4.879139541466176,4.965633898156811,µg/m3
08,2017,5.3227037339874625,5.140510383534567,µg/m3
09,2017,5.39510389980074,5.19898239175146,µg/m3
10,2017,5.65006993006993,5.455959187952711,µg/m3
11,2017,5.810579196217494,5.618584342029388,µg/m3
12,2017,5.151590594744122,5.537413240343849,µg/m3
